X,Y,Robot_Angle,L1_Angle,L2_Angle,Action
1000,1000,0.00,0.00,0.00,Initial
1000,1000,0.00,0.00,0.00,Rotate_Base
4000,1000,0.00,0.00,0.00,Move_X
4000,1000,90.00,0.00,0.00,Rotate_Base
4000,2000,90.00,0.00,0.00,Move_Y
4000,2000,71.57,96.41,-117.95,Collect
object2 Pick up
4000,2000,0.00,96.41,-117.95,Rotate_Base
7000,2000,0.00,96.41,-117.95,Move_X
7000,2000,90.00,96.41,-117.95,Rotate_Base
7000,6000,90.00,96.41,-117.95,Move_Y
7000,6000,58.09,63.01,-69.54,Collect
object3 Pick up
7000,6000,180.00,63.01,-69.54,Rotate_Base
1000,6000,180.00,63.01,-69.54,Move_X
1000,6000,-90.00,63.01,-69.54,Rotate_Base
1000,1000,-90.00,63.01,-69.54,Move_Y
1000,1000,0.00,0.00,0.00,Rotate_Base
Returned home